"NAME","Number","SPC22CD","DNV","Cons","Greens","Lab","LDem","Other","SNP"
"Aberdeen Central",1,"S16000074",40094,7623,2087,6294,1417,0,14217
"Aberdeen Deeside and North Kincardine",2,"S16000076",25118,14829,0,4505,2889,286,16500
"Aberdeen Donside",3,"S16000075",29826,9488,0,5505,2162,240,18514
"Aberdeenshire East",4,"S16000077",24477,15549,0,2746,3291,0,17480
"Aberdeenshire West",5,"S16000078",19812,19709,0,2382,3363,0,16319
"Airdrie",6,"S16000079",25494,4422,0,10671,562,132,16139
"Almond Valley",7,"S16000080",28832,6796,0,10342,1582,0,22273
"Angus North and Mearns",8,"S16000081",22859,13635,0,2686,1804,0,17144
"Angus South",9,"S16000082",22040,13451,0,3625,1964,0,19568
"Argyll and Bute",10,"S16000083",19297,7645,0,2436,6874,0,16608
"Ayr",11,"S16000084",21504,18711,0,4766,808,267,18881
"Banffshire and Buchan Coast",12,"S16000077; S16000085",31784,15017,0,2323,1176,678,15747
"Bathgate",13,"S16000080; S16000128",26855,8063,0,10831,1695,0,19892
"Caithness, Sutherland and Ross",14,"S16000086",22053,5170,0,2016,13298,511,15889
"Carrick, Cumnock and Doon Valley",15,"S16000087",25752,10903,0,8604,875,0,15240
"Clackmannanshire and Dunblane",16,"S16000088; S16000144",23764,10068,0,8670,1291,0,18055
"Clydebank and Milngavie",17,"S16000089",20107,4153,0,12513,2987,220,17787
"Clydesdale",18,"S16000090",23044,13018,0,8960,1144,0,17596
"Coatbridge and Chryston",19,"S16000149",23536,3028,0,11140,622,411,20577
"Cowdenbeath",20,"S16000092",25091,4758,1344,10486,1088,0,16499
"Cumbernauld and Kilsyth",21,"S16000093",20236,3375,0,9792,678,0,19633
"Cunninghame North",22,"S16000094",21471,10451,0,7536,967,0,18227
"Cunninghame South",23,"S16000095; S16000126",26664,7769,0,8816,866,340,17536
"Dumbarton",24,"S16000096",20450,3205,0,17825,676,411,16342
"Dumfriesshire",25,"S16000097",22996,19487,0,4671,1314,0,15421
"Dundee City East",26,"S16000098",27202,5630,0,5893,1431,287,19230
"Dundee City West",27,"S16000099",33452,3327,0,6899,1269,842,19818
"Dunfermline",28,"S16000100",24172,6314,0,11384,3196,0,20048
"East Kilbride",29,"S16000101",22991,5923,0,12477,1217,0,21149
"East Lothian Coast and Lammermuirs",30,"S16000102",19621,8321,0,13981,1462,0,15442
"Eastwood",31,"S16000103",14345,17911,0,6759,911,1427,15695
"Edinburgh Central",32,"S16000104; S16000105; S16000108",43290,8514,2828,12105,1806,508,16640
"Edinburgh Eastern, Musselburgh and Tranent",33,"S16000102; S16000105; S16000108; S16000130",26548,5389,0,11568,1116,2,16235
"Edinburgh North Eastern and Leith",34,"S16000105; S16000106",29369,4315,3601,10593,1656,137,20643
"Edinburgh North Western",35,"S16000104; S16000107; S16000109",17129,4255,356,3172,21208,203,14299
"Edinburgh Northern",36,"S16000104; S16000106; S16000109",27428,6290,3247,6418,6691,374,16285
"Edinburgh South Western",37,"S16000107; S16000108",25199,10743,0,8825,2080,472,16556
"Edinburgh Southern",38,"S16000104; S16000105; S16000107; S16000108",22860,6635,5,14563,2536,177,18266
