"NAME","Number","SPC22CD","DNV","Cons","Greens","Lab","LDem","Alba","Other","SNP","Reform"
"Aberdeen Central",1,"S16000074",40076,7660,3121,5214,1549,597,1082,12333,100
"Aberdeen Deeside and North Kincardine",2,"S16000076",25040,13619,2243,4766,2338,710,1131,14156,124
"Aberdeen Donside",3,"S16000075",29784,8849,1764,5283,1728,743,1225,16233,126
"Aberdeenshire East",4,"S16000077",24439,14319,2222,2929,2915,1173,1242,14207,97
"Aberdeenshire West",5,"S16000078",19771,17700,2569,2856,3375,668,1148,13379,119
"Airdrie",6,"S16000079",25465,6528,1362,7964,495,534,768,14251,53
"Almond Valley",7,"S16000080",28727,7686,3021,8312,1215,738,1452,18579,95
"Angus North and Mearns",8,"S16000081",22749,12451,2151,2912,1603,724,1098,14360,80
"Angus South",9,"S16000082",21938,12534,2265,3722,1557,788,1232,16524,88
"Argyll and Bute",10,"S16000083",19232,8563,2661,2829,3659,589,1298,13966,63
"Ayr",11,"S16000084",21442,15740,2057,5994,876,494,1454,16821,59
"Banffshire and Buchan Coast",12,"S16000077; S16000085",31759,13923,1271,2388,1015,1197,1411,13585,176
"Bathgate",13,"S16000080; S16000128",26770,9006,2945,8739,1241,580,1483,16466,108
"Caithness, Sutherland and Ross",14,"S16000086",22006,7905,2052,2745,7818,640,1467,14201,103
"Carrick, Cumnock and Doon Valley",15,"S16000087",25707,10812,1200,7159,646,424,1404,13949,73
"Clackmannanshire and Dunblane",16,"S16000088; S16000144",23689,10311,3655,6870,1271,628,967,14310,152
"Clydebank and Milngavie",17,"S16000089",20053,6622,3269,8866,2169,576,1043,15121,48
"Clydesdale",18,"S16000090",22938,12208,2258,8243,1144,517,1289,15081,84
"Coatbridge and Chryston",19,"S16000149",23485,4546,2125,8724,534,684,978,18191,47
"Cowdenbeath",20,"S16000092",25014,5881,2212,8308,1229,723,731,15088,80
"Cumbernauld and Kilsyth",21,"S16000093",20168,4679,2260,7787,575,568,1031,16592,54
"Cunninghame North",22,"S16000094",21384,9814,2477,6412,828,816,1323,15515,83
"Cunninghame South",23,"S16000095; S16000126",26536,7837,1543,7666,722,488,1199,15917,61
"Dumbarton",24,"S16000096",20431,8110,2444,10228,986,727,1160,14766,57
"Dumfriesshire",25,"S16000097",22953,17561,1376,4834,1034,292,1453,14301,85
"Dundee City East",26,"S16000098",27121,5699,2267,5201,1067,810,1042,16403,63
"Dundee City West",27,"S16000099",33470,3801,2862,5791,903,859,1108,16730,83
"Dunfermline",28,"S16000100",24031,7884,3432,8468,2956,772,886,16623,62
"East Kilbride",29,"S16000101",22857,7127,2903,9625,932,619,1232,18331,131
"East Lothian Coast and Lammermuirs",30,"S16000102",19465,10377,3315,9278,1510,495,1059,13261,65
"Eastwood",31,"S16000103",14208,15369,3524,8449,1243,502,1256,12433,64
"Edinburgh Central",32,"S16000104; S16000105; S16000108",43108,8740,8791,8629,2322,568,1299,12141,89
"Edinburgh Eastern, Musselburgh and Tranent",33,"S16000102; S16000105; S16000108; S16000130",26320,6399,4030,8392,920,559,1185,13000,75
"Edinburgh North Eastern and Leith",34,"S16000105; S16000106",29315,5225,7827,8214,1601,627,1065,16382,78
"Edinburgh North Western",35,"S16000104; S16000107; S16000109",17458,8837,3824,5295,10599,567,1003,13026,55
"Edinburgh Northern",36,"S16000104; S16000106; S16000109",26937,8121,6282,5990,3961,702,1462,13153,101
"Edinburgh South Western",37,"S16000107; S16000108",24904,10178,4745,7154,2202,600,1306,12678,79
"Edinburgh Southern",38,"S16000104; S16000105; S16000107; S16000108",23063,8843,5755,9116,3106,630,1106,13334,73
"Ettrick, Roxburgh and Berwickshire",39,"S16000111",22487,17075,1665,2438,2426,317,1150,10857,116
"Falkirk East and Linlithgow",40,"S16000112; S16000113; S16000128",26977,9910,2936,9026,1217,783,1302,17410,104
"Falkirk West",41,"S16000112; S16000113",28826,8742,2870,8880,987,698,1256,19665,93
"Fife North East",42,"S16000134",22671,8108,4068,2425,11725,585,894,12484,71
